country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
France,ANR (Agence Nationale de la Recherche),2005,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2007,826320000.0,826320000.0,1,JORF_2007.pdf,single,EUR,euro,science_agency
France,ANR (Agence Nationale de la Recherche),2008,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2009,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2010,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2011,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2012,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2013,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2014,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2015,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2016,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2017,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2018,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2020,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2021,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2022,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2023,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2024,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2025,,,0,,gap,,,science_agency
France,Agricultural research and higher education,2008,278000000.0,278000000.0,1,JORF_2008.pdf,single,EUR,euro,higher_education
France,Applied Research and Innovation in Agriculture,2015,,,0,,gap,,,rd_programme
France,Applied Research and Innovation in Agriculture,2016,76000000.0,76000000.0,1,JORF_2016.pdf,single,EUR,euro,rd_programme
France,Applied Research and Innovation in Agriculture,2017,,,0,,gap,,,rd_programme
France,Applied Research and Innovation in Agriculture,2018,71000000.0,71000000.0,1,JORF_2018.pdf,single,EUR,euro,rd_programme
France,Applied Research and Innovation in Agriculture,2019,71000000.0,71000000.0,1,JORF_2019.pdf,single,EUR,euro,rd_programme
France,Applied Research and Innovation in Agriculture,2020,71000000.0,71000000.0,1,JORF_2020.pdf,single,EUR,euro,rd_programme
