country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
France,ANR (Agence Nationale de la Recherche),2005,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2007,826320000.0,826320000.0,1,JORF_2007.pdf,single,EUR,euro,science_agency
France,ANR (Agence Nationale de la Recherche),2008,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2009,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2010,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2011,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2012,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2013,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2014,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2015,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2016,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2017,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2018,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2020,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2021,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2022,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2023,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2024,,,0,,gap,,,science_agency
France,ANR (Agence Nationale de la Recherche),2025,,,0,,gap,,,science_agency
France,Agricultural research and higher education,1970,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1972,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1973,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1974,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1977,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1978,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1979,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1981,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1982,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1983,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1984,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1985,,,0,,gap,,,higher_education
France,Agricultural research and higher education,1986,,,0,,gap,,,higher_education
