country_code,country_name,year,reform_count,has_reform,innovation_count,has_innovation,major_reform_count,major_has_reform,major_innovation_count,major_has_innovation,growth_supporting_reform_count,growth_supporting_has_reform,growth_supporting_innovation_count,growth_supporting_has_innovation,growth_hindering_reform_count,growth_hindering_has_reform,growth_hindering_innovation_count,growth_hindering_has_innovation,announced_count,rd_actor_public_count,rd_actor_private_count,rd_actor_public_private_count,rd_stage_basic_count,rd_stage_applied_count,rd_stage_commercialization_count,rd_stage_adoption_count,reform_intensity_score
AUS,Australia,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1976,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0.6035
AUS,Australia,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
AUS,Australia,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
AUS,Australia,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1983,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0.3535
AUS,Australia,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1987,3,1,3,1,1,1,1,1,3,1,3,1,0,0,0,0,2,1,1,1,0,3,0,0,0.5404
AUS,Australia,1988,2,1,2,1,0,0,0,0,2,1,2,1,0,0,0,0,1,0,0,2,0,2,0,0,0.3958
AUS,Australia,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1992,2,1,2,1,2,1,2,1,2,1,2,1,0,0,0,0,1,2,0,0,0,2,0,0,0.677
AUS,Australia,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,1994,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0.6035
AUS,Australia,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
AUS,Australia,1996,2,1,2,1,2,1,2,1,2,1,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0.6458
AUS,Australia,1997,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0.6035
AUS,Australia,1998,2,1,2,1,1,1,1,1,2,1,2,1,0,0,0,0,1,1,0,1,1,0,1,0,0.552
AUS,Australia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AUS,Australia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
