country_code,country_name,year,theme,sub_theme,has_reform,reform_count,has_major,major_count,has_growth_supporting,growth_supporting_count,has_growth_hindering,growth_hindering_count
AUS,Australia,1970,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1970,innovation,innovation_instruments,0,0,0,0,0,0,0,0
AUS,Australia,1970,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1970,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1970,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1970,innovation,research_infrastructure,0,0,0,0,0,0,0,0
AUS,Australia,1970,innovation,sectoral_rd,0,0,0,0,0,0,0,0
AUS,Australia,1970,innovation,startup_ecosystem,0,0,0,0,0,0,0,0
AUS,Australia,1971,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1971,innovation,innovation_instruments,0,0,0,0,0,0,0,0
AUS,Australia,1971,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1971,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1971,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1971,innovation,research_infrastructure,0,0,0,0,0,0,0,0
AUS,Australia,1971,innovation,sectoral_rd,0,0,0,0,0,0,0,0
AUS,Australia,1971,innovation,startup_ecosystem,0,0,0,0,0,0,0,0
AUS,Australia,1972,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1972,innovation,innovation_instruments,0,0,0,0,0,0,0,0
AUS,Australia,1972,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1972,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1972,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1972,innovation,research_infrastructure,0,0,0,0,0,0,0,0
AUS,Australia,1972,innovation,sectoral_rd,0,0,0,0,0,0,0,0
AUS,Australia,1972,innovation,startup_ecosystem,0,0,0,0,0,0,0,0
AUS,Australia,1973,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1973,innovation,innovation_instruments,0,0,0,0,0,0,0,0
AUS,Australia,1973,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1973,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1973,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1973,innovation,research_infrastructure,0,0,0,0,0,0,0,0
AUS,Australia,1973,innovation,sectoral_rd,0,0,0,0,0,0,0,0
AUS,Australia,1973,innovation,startup_ecosystem,0,0,0,0,0,0,0,0
AUS,Australia,1974,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1974,innovation,innovation_instruments,0,0,0,0,0,0,0,0
AUS,Australia,1974,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1974,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1974,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1974,innovation,research_infrastructure,0,0,0,0,0,0,0,0
AUS,Australia,1974,innovation,sectoral_rd,0,0,0,0,0,0,0,0
AUS,Australia,1974,innovation,startup_ecosystem,0,0,0,0,0,0,0,0
AUS,Australia,1975,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1975,innovation,innovation_instruments,0,0,0,0,0,0,0,0
AUS,Australia,1975,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1975,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1975,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1975,innovation,research_infrastructure,0,0,0,0,0,0,0,0
AUS,Australia,1975,innovation,sectoral_rd,0,0,0,0,0,0,0,0
AUS,Australia,1975,innovation,startup_ecosystem,0,0,0,0,0,0,0,0
AUS,Australia,1976,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1976,innovation,innovation_instruments,1,1,1,1,1,1,0,0
AUS,Australia,1976,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1976,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1976,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1976,innovation,research_infrastructure,0,0,0,0,0,0,0,0
AUS,Australia,1976,innovation,sectoral_rd,0,0,0,0,0,0,0,0
AUS,Australia,1976,innovation,startup_ecosystem,0,0,0,0,0,0,0,0
AUS,Australia,1977,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1977,innovation,innovation_instruments,0,0,0,0,0,0,0,0
AUS,Australia,1977,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1977,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1977,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1977,innovation,research_infrastructure,0,0,0,0,0,0,0,0
AUS,Australia,1977,innovation,sectoral_rd,0,0,0,0,0,0,0,0
AUS,Australia,1977,innovation,startup_ecosystem,0,0,0,0,0,0,0,0
AUS,Australia,1978,innovation,human_capital,0,0,0,0,0,0,0,0
AUS,Australia,1978,innovation,innovation_instruments,0,0,0,0,0,0,0,0
AUS,Australia,1978,innovation,knowledge_transfer,0,0,0,0,0,0,0,0
AUS,Australia,1978,innovation,other,0,0,0,0,0,0,0,0
AUS,Australia,1978,innovation,rd_funding,0,0,0,0,0,0,0,0
AUS,Australia,1978,innovation,research_infrastructure,0,0,0,0,0,0,0,0
