canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
AIT Austrian Institute of Technology,science_agency,1997,1997_Austria_proposal.pdf,Beitrag zur AIT (Austrian Institute of Technology),,Science and Research,0,507,False
AIT Austrian Institute of Technology,science_agency,2009,2009 Anlagen COO_2026_100_2_539063.pdf,Austrian Institute of Technology (AIT),0.0,Science and Research,0,1067,True
AIT Austrian Institute of Technology,science_agency,2010,2010 Anlagen COO_2026_100_2_539074.pdf,AIT (Austrian Institute of Technology),0.361,Science and Research,0,1094,True
AIT Austrian Institute of Technology,science_agency,2013,2013 Anlagen COO_2026_100_2_820081.pdf,AIT (Austrian Institute of Technology),,Economy,0,1208,True
AIT Austrian Institute of Technology,science_agency,2016,2016 Anlagen COO_2026_100_2_1160018.pdf,AIT - Austrian Institute of Technology,,Economy,0,1309,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1976,1976_Austria.pdf,Wissenschaft und Forschung,3707.911,Science and Research,0,26,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1976,1976_Austria.pdf,Bundesministerium für Wissenschaft und Forschung,2.0,Federal Ministry of Science and Research,0,32,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1977,1977_Austria.pdf,Wissenschaft und Forschung,6886.962,Science and Research,0,38,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1977,1977_Austria.pdf,Wissenschaft und Forschung,248.043,Science and Research,0,47,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1978,1978_Austria.pdf,Wissenschaft und Forschung,3563.17,Science and Research,0,56,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1979,1979_Austria.pdf,Wissenschaft und Forschung,1.077,Science and Research,0,66,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1981,1981_Austria.pdf,Wissenschaft und Forschung,1881.808,Science and Research,0,84,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1982,1982_Austria.pdf,Wissenschaft und Forschung,385.777,Science and Research,0,101,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1983,1983_Austria.pdf,Wissenschaft und Forschung,3904.6,Science and Research,0,109,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1983,1983_Austria.pdf,Bundesministerium für Wissenschaft und Forschung,4897.23,Science,0,116,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1984,1984_Austria.pdf,Wissenschaft und Forschung,583.342,Science and Research,0,122,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1984,1984_Austria.pdf,Wissenschaft und Forschung,402.822,Science and Research,0,128,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1985,1985_Austria.pdf,Wissenschaft und Forschung,5728.625,Science and Research,0,134,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1985,1985_Austria.pdf,Wissenschaft und Forschung,650.0,Science and Research,0,140,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1986,1986_Austria.pdf,Wissenschaft und Forschung,412.024,Science and Research,0,146,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1986,1986_Austria.pdf,Wissenschaft und Forschung,0.0,Science and Research,0,152,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1988,1988_Austria.pdf,Wissenschaft und Forschung,170.614,Science and Research,0,158,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1988,1988_Austria.pdf,Wissenschaft und Forschung,1115.925,Science and Research,0,166,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1989,1989_Austria.pdf,Wissenschaft und Forschung,0.0,Science and Research,0,173,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1990,1990_Austria.pdf,Wissenschaft und Forschung,3800.044,Science and Research,0,183,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1990,1990_Austria.pdf,Wissenschaft und Forschung,144075.992,Science and Research,0,193,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1990,1990_Austria.pdf,Wissenschaft und Forschung,1912.974,Science and Research,0,200,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1990,1990_Austria.pdf,Wissenschaft und Forschung,255.046,Science and Research,0,208,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1991,1991_Austria_proposal.pdf,Wissenschaft und Forschung,248.833,Science and Research,0,214,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1991,1991_Austria_proposal.pdf,Wissenschaft und Forschung,895.938,Science and Research,0,223,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1991,1991_Austria_proposal.pdf,Wissenschaft und Forschung,9214.284,Science and Research,0,229,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1991,1991_Austria_proposal.pdf,Wissenschaft und Forschung,1276.516,Science and Research,0,234,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1991,1991_Austria_proposal.pdf,Wissenschaft und Forschung,1742.999,Science and Research,0,240,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1992,1992_Austria.pdf,Wissenschaft und Forschung,4635.857,Science and Research,0,250,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1992,1992_Austria.pdf,Wissenschaft und Forschung,10624.006,Science and Research,0,259,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1992,1992_Austria.pdf,Wissenschaft und Forschung,2239.212,Science and Research,0,267,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1993,1993_Austria.pdf,Wissenschaft und Forschung,750.494,Science and Research,0,273,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1993,1993_Austria.pdf,Wissenschaft und Forschung,10759.049,Science and Research,0,281,True
BMBWF / Einzelplan 13 / UG 31 (total),rd_ministry,1993,1993_Austria.pdf,Wissenschaft und Forschung,1636.433,Science and Research,0,289,True
