country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,series_notes
Australia,1975,ANSTO / Atomic Energy Commission,science_agency,44195001.0,dollar,AUD,section_total,Total: Department of Minerals and Energy,1975 No1 C2004A00152.docx,AAEC renamed ANSTO in 1987.
Australia,1975,ANSTO / Atomic Energy Commission,science_agency,1280887.0,dollar,AUD,line_item,3.—For expenditure under the Atomic Energy Act,1975 No2 C2004A00153.docx,AAEC renamed ANSTO in 1987.
Australia,1975,ANSTO / Atomic Energy Commission,science_agency,2316000.0,dollar,AUD,section_total,Total: Department of Minerals and Energy,1975 No5 C2004A00253.docx,AAEC renamed ANSTO in 1987.
Australia,1975,ANSTO / Atomic Energy Commission,science_agency,947000.0,dollar,AUD,line_item,6.—For expenditure under the Atomic Energy Act— Advances for uranium exploration and development,1975 No6 C2004A00254.docx,AAEC renamed ANSTO in 1987.
Australia,1976,ANSTO / Atomic Energy Commission,science_agency,16997725.0,dollar,AUD,line_item,Australian Atomic Energy Commission,1976 No1 C2004A01425.docx,AAEC renamed ANSTO in 1987.
Australia,1976,ANSTO / Atomic Energy Commission,science_agency,1192571.0,dollar,AUD,line_item,3.—For expenditure under the Atomic Energy Act,1976 No2 C2004A01426.docx,AAEC renamed ANSTO in 1987.
Australia,1976,ANSTO / Atomic Energy Commission,science_agency,2513000.0,dollar,AUD,section_total,Total: Department of National Resources,1976 No3 C2004A01469.docx,AAEC renamed ANSTO in 1987.
Australia,1977,ANSTO / Atomic Energy Commission,science_agency,45547876.0,dollar,AUD,section_total,Total: Department of National Resources,1977 No1 C2004A01546.docx,AAEC renamed ANSTO in 1987.
Australia,1977,ANSTO / Atomic Energy Commission,science_agency,10674466.0,dollar,AUD,line_item,6.—Australian Atomic Energy Commission—Uranium exploration and development,1977 No2 C2004A01547.docx,AAEC renamed ANSTO in 1987.
Australia,1978,ANSTO / Atomic Energy Commission,science_agency,50015393.0,dollar,AUD,section_total,Total: Department of National Resources,1978 No1 C2004A01777.docx,AAEC renamed ANSTO in 1987.
Australia,1978,ANSTO / Atomic Energy Commission,science_agency,1297000.0,dollar,AUD,line_item,3.—Australian Atomic Energy Commission—For expenditure under the Atomic Energy Act,1978 No2 C2004A01778.docx,AAEC renamed ANSTO in 1987.
Australia,1978,ANSTO / Atomic Energy Commission,science_agency,19536971.0,dollar,AUD,line_item,1.—For expenditure under the Atomic Energy Act— Running expenses,1978 No3 C2004A01841.docx,AAEC renamed ANSTO in 1987.
Australia,1979,ANSTO / Atomic Energy Commission,science_agency,49461157.0,dollar,AUD,section_total,Total: Department of National Development,1979 No1 C2004A01940.docx,AAEC renamed ANSTO in 1987.
Australia,1979,ANSTO / Atomic Energy Commission,science_agency,20000000.0,dollar,AUD,line_item,01. Ranger Uranium Project—Payment to Australian Atomic Energy Commission or otherwise,1979 No2 C2004A01941.docx,AAEC renamed ANSTO in 1987.
Australia,1980,ANSTO / Atomic Energy Commission,science_agency,6875000.0,dollar,AUD,section_total,Total: Department of National Development and Energy,1980 No3 C2004A02262.docx,AAEC renamed ANSTO in 1987.
Australia,1981,ANSTO / Atomic Energy Commission,science_agency,66177265.0,dollar,AUD,section_total,Total: Department of National Development and Energy,1981 No1 C2004A02342.docx,AAEC renamed ANSTO in 1987.
Australia,1981,ANSTO / Atomic Energy Commission,science_agency,1428000.0,dollar,AUD,line_item,2.—Australian Atomic Energy Commission—For expenditure under the Atomic Energy Act 1953,1981 No2 C2004A02343.docx,AAEC renamed ANSTO in 1987.
Australia,1981,ANSTO / Atomic Energy Commission,science_agency,3813000.0,dollar,AUD,section_total,Total: Department of National Development and Energy,1981 No3 C2004A02433.docx,AAEC renamed ANSTO in 1987.
