canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Fundamental Scientific Research (Latvia),direct_rd,1996,likumi_lv_305652_21.11.1996__lv.pdf,Fundamentālie zinātniskie pētījumi,5687898.0,Ministry of Education and Science Budget,0,28,True
Fundamental Scientific Research (Latvia),direct_rd,1999,likumi_lv_22778_03.11.1999__lv.pdf,Fundamentālie zinātniskie pētījumi,0.0,Ministry of Education and Science,0,56,False
Fundamental Scientific Research (Latvia),direct_rd,2000,likumi_lv_305669_18.11.2000__lv.pdf,Fundamentālie zinātniskie pētījumi,5000000.0,Fundamental scientific research,0,63,True
Fundamental Scientific Research (Latvia),direct_rd,2000,likumi_lv_305669_18.11.2000__lv.pdf,Fundamentālie zinātniskie pētījumi,,Science,0,76,True
Fundamental Scientific Research (Latvia),direct_rd,2001,likumi_lv_13735_07.07.2001__lv.pdf,Fundamentālie zinātniskie pētījumi,,Science,0,90,False
Fundamental Scientific Research (Latvia),direct_rd,2003,2003 BUDZETS.DOC,Fundamentālie zinātniskie pētījumi,,Ministry of Education and Science,0,99,False
Fundamental Scientific Research (Latvia),direct_rd,2006,likumi_lv_121006_09.11.2006__lv.pdf,Fundamentālie zinātniskie pētījumi,,Fundamental scientific research,0,154,True
Fundamental Scientific Research (Latvia),direct_rd,2006,likumi_lv_121006_09.11.2006__lv.pdf,Fundamentālie zinātniskie pētījumi,,Ministry of Education and Science,0,166,True
Fundamental Scientific Research (Latvia),direct_rd,2006,likumi_lv_121006_09.11.2006__lv.pdf,Fundamentālie zinātniskie pētījumi – kopā,2000000.0,Fundamental Scientific Research,0,176,True
Fundamental Scientific Research (Latvia),direct_rd,2007,likumi_lv_150652_12.10.2007__lv.pdf,Fundamentālie zinātniskie pētījumi,0.0,Fundamental scientific research,0,187,False
Fundamental Scientific Research (Latvia),direct_rd,2009,likumi_lv_184709_01.07.2009__lv.pdf,Fundamentālie zinātniskie pētījumi,,Ministry of Education and Science,0,195,False
Latvian Academy of Sciences,science_agency,1993,likumi_lv_60011_21.04.1993__lv.pdf,Latvijas Zinātņu akadēmija kopā,19400.0,Latvian Academy of Sciences,0,16,True
Latvian Academy of Sciences,science_agency,1995,likumi_lv_58940_20.12.1995__lv.pdf,Latvijas Akadēmiskā bibliotēka,312647.0,Science — total,0,21,False
Latvian Academy of Sciences,science_agency,1995,likumi_lv_58940_20.12.1995__lv.pdf,LZA Kodolpētniecības centrs,96720.0,Science — total,0,23,False
Latvian Academy of Sciences,science_agency,1996,likumi_lv_305652_21.11.1996__lv.pdf,LZA nominētās balvas,4000.0,Latvian Academy of Sciences,0,33,False
Science Base Funding (Latvia),science_agency,1997,likumi_lv_305681_12.12.1997__lv.pdf,Zinātniskās darbības nodrošināšana,6731662.0,Science - program,0,38,True
Science Base Funding (Latvia),science_agency,1999,likumi_lv_22778_03.11.1999__lv.pdf,Zinātniskās darbības nodrošināšana,7415859.0,Ensuring Scientific Activities,0,52,True
Science Base Funding (Latvia),science_agency,1999,likumi_lv_22778_03.11.1999__lv.pdf,Zinātnes bāzes finansējums,0.0,Ministry of Education and Science,0,57,True
Science Base Funding (Latvia),science_agency,2000,likumi_lv_305669_18.11.2000__lv.pdf,Zinātnes bāzes finansējums,6700000.0,Science base funding,0,62,True
Science Base Funding (Latvia),science_agency,2000,likumi_lv_305669_18.11.2000__lv.pdf,Zinātnes bāzes finansējums,,Science,0,77,True
Science Base Funding (Latvia),science_agency,2001,likumi_lv_13735_07.07.2001__lv.pdf,Zinātniskās darbības nodrošinājums,7646507.0,Ministry of Education and Science,0,83,True
Science Base Funding (Latvia),science_agency,2003,2003 BUDZETS.DOC,Zinātnes bāzes finansējums,7962404.0,Ministry of Education and Science,0,98,True
Science Base Funding (Latvia),science_agency,2003,2003 likumi_lv_72288_27.11.2003__lv.pdf,Zinātniskās darbības nodrošināšana,7930511.0,Ministry of Education and Science,0,123,True
Science Base Funding (Latvia),science_agency,2006,likumi_lv_121006_09.11.2006__lv.pdf,Zinātnes bāzes finansējums,,Science base funding,0,153,True
