country,year,canonical_name,category,gap_type,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,prev_amount,next_amount
Spain,2018,CSIC (Consejo Superior de Investigaciones Científicas),science_agency,ok,,,,,none,630561860.0,,377255430.0
Spain,2020,CSIC (Consejo Superior de Investigaciones Científicas),science_agency,ok,,,,,none,377255430.0,630561860.0,1121856670.0
Spain,2021,CSIC (Consejo Superior de Investigaciones Científicas),science_agency,ok,,,,,none,1121856670.0,377255430.0,1213105230.0
Spain,2022,CSIC (Consejo Superior de Investigaciones Científicas),science_agency,ok,,,,,none,1213105230.0,1121856670.0,1213105230.0
Spain,2023,CSIC (Consejo Superior de Investigaciones Científicas),science_agency,ok,,,,,none,1213105230.0,1213105230.0,
Spain,2018,AEI (Agencia Estatal de Investigación),science_agency,ok,,,,,none,640104990.0,,29804940.0
Spain,2020,AEI (Agencia Estatal de Investigación),science_agency,ok,,,,,none,29804940.0,640104990.0,1358164020.0
Spain,2021,AEI (Agencia Estatal de Investigación),science_agency,ok,,,,,none,1358164020.0,29804940.0,1419995610.0
Spain,2022,AEI (Agencia Estatal de Investigación),science_agency,ok,,,,,none,1419995610.0,1358164020.0,1419995610.0
Spain,2023,AEI (Agencia Estatal de Investigación),science_agency,ok,,,,,none,1419995610.0,1419995610.0,
Spain,2020,CDTI (Centro para el Desarrollo Tecnológico e Industrial),innovation_instruments,ok,,,,,none,10000000.0,,
Spain,2020,ISCIII (Instituto de Salud Carlos III),science_agency,ok,,,,,none,82545560.0,,44105540.0
Spain,2021,ISCIII (Instituto de Salud Carlos III),science_agency,ok,,,,,none,44105540.0,82545560.0,487532150.0
Spain,2022,ISCIII (Instituto de Salud Carlos III),science_agency,ok,,,,,none,487532150.0,44105540.0,487532150.0
Spain,2023,ISCIII (Instituto de Salud Carlos III),science_agency,ok,,,,,none,487532150.0,487532150.0,
Spain,2020,CIEMAT,science_agency,ok,,,,,none,58795970.0,,59677910.0
Spain,2021,CIEMAT,science_agency,ok,,,,,none,59677910.0,58795970.0,144707990.0
Spain,2022,CIEMAT,science_agency,ok,,,,,none,144707990.0,59677910.0,59677910.0
Spain,2023,CIEMAT,science_agency,ok,,,,,none,59677910.0,144707990.0,
Spain,2002,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,364676480.0,,563045980.0
Spain,2004,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,563045980.0,364676480.0,1008543870.0
Spain,2005,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,1008543870.0,563045980.0,1456515020.0
Spain,2006,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,1456515020.0,1008543870.0,1905919950.0
Spain,2007,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,1905919950.0,1456515020.0,2069656160.0
Spain,2008,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,2069656160.0,1905919950.0,2097057760.0
Spain,2009,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,2097057760.0,2069656160.0,2139768610.0
Spain,2010,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,2139768610.0,2097057760.0,2139768610.0
Spain,2011,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,2139768610.0,2139768610.0,1411161290.0
Spain,2012,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,1411161290.0,2139768610.0,1464723460.0
Spain,2013,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,1464723460.0,1411161290.0,1443093130.0
Spain,2014,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,1443093130.0,1464723460.0,170000000.0
Spain,2015,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,170000000.0,1443093130.0,463000000.0
Spain,2016,Plan Nacional I+D (total R&D appropriation),direct_rd,ok,,,,,none,463000000.0,170000000.0,
Spain,2022,Esteban Terradas National Institute of Aerospace Technology,science_agency,ok,,,,,none,196019400.0,,
Spain,2022,Centre for Sociological Research,direct_rd,ok,,,,,none,12659110.0,,
Spain,2022,Spanish Metrology Center,direct_rd,ok,,,,,none,17482090.0,,
Spain,2022,National Transplant Organization,direct_rd,ok,,,,,none,6706760.0,,
Spain,2020,Recovery and Resilience Mechanism,innovation_instruments,ok,,,,,none,1793200000.0,,
