country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Costa Rica,2011,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,11805900.0,CRC,thousand,verified_override,parsed_budget_text,pdf_2cd269e29d69__2011_Ley_de_presupuesto.txt,429.0,Verified against original Costa Rica budget file,manual override from original Costa Rica budget file; ordinary annual quota on page 429,verified_against_original_file
Costa Rica,2013,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,26000000.0,CRC,thousand,verified_override,parsed_budget_text,pdf_2ca1f7962cd2__2013_Tomo2_Ley_de_presupuesto.txt,144.0,Verified against original Costa Rica budget file,gap: no matching rows in this year; manual override from original Costa Rica budget file,verified_against_original_file
Costa Rica,2017,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,27510000.0,CRC,thousand,verified_override,parsed_budget_text,pdf_b7628d47c028__2017_Tomo1_Ley_de_presupuesto.txt,363.0,Verified against original Costa Rica budget file,gap: no matching rows in this year; manual override from original Costa Rica budget file,verified_against_original_file
Costa Rica,2020,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,30550000.0,CRC,thousand,verified_override,parsed_budget_text,pdf_65d032f4c4ef__2020_Ley_de_presupuesto.txt,368.0,Verified against original Costa Rica budget file,gap: no matching rows in this year; manual override from original Costa Rica budget file,verified_against_original_file
Costa Rica,2021,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,30600000.0,CRC,thousand,verified_override,parsed_budget_text,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,435.0,Verified against original Costa Rica budget file,gap: no matching rows in this year; manual override from original Costa Rica budget file,verified_against_original_file
Costa Rica,2024,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,27090000.0,CRC,thousand,verified_override,parsed_budget_text,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,434.0,Verified against original Costa Rica budget file,gap: no matching rows in this year; manual override from original Costa Rica budget file,verified_against_original_file
Costa Rica,2025,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,30100000.0,CRC,thousand,verified_override,parsed_budget_text,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,471.0,Verified against original Costa Rica budget file,gap: no matching rows in this year; manual override from original Costa Rica budget file,verified_against_original_file
Costa Rica,2010,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,751503500.0,CRC,thousand,verified_override,parsed_budget_text,pdf_4c260828c63b__2010_Ley_de_presupuesto.txt,96.0,Verified against original Costa Rica budget file,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file,verified_against_original_file
Costa Rica,2021,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,1839934582.0,CRC,thousand,verified_override,parsed_budget_text,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,1432.0,Verified against original Costa Rica budget file,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file,verified_against_original_file
Costa Rica,2024,INCIENSA (health and nutrition research),science_agency,7405300000.0,CRC,thousand,verified_override,parsed_budget_text,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,1061.0,Verified against original Costa Rica budget file,manual override from original Costa Rica budget file,verified_against_original_file
